"","temperatureMean","temperatureVariance","pHMean","pHVariance","DOMean","DOVariance","salinityMean","salinityVariance"
"O01",2.86083666355758,1.35048775167667,2.18251060175795,0.0257558705639649,2.42173559079102,2.02502009019554,3.04029518912705,1.66608519952827
"O04",2.86083666355758,1.35048775167667,2.18251060175795,0.0257558705639649,2.42173559079102,2.02502009019554,3.04029518912705,1.66608519952827
"O08",2.86083666355758,1.35048775167667,2.18251060175795,0.0257558705639649,2.42173559079102,2.02502009019554,3.04029518912705,1.66608519952827
"O10",2.86083666355758,1.35048775167667,2.18251060175795,0.0257558705639649,2.42173559079102,2.02502009019554,3.04029518912705,1.66608519952827
"O100",2.78094118895747,1.7837280904875,2.12452719893107,0.0555604832668178,2.39767167809362,3.09063971286562,2.66955447808077,0.731529017755703
"O101",2.8042147697772,2.02923426308968,2.14300210579127,0.0677821222541597,2.4140212322625,2.49182894756766,3.37880645721376,1.07007334631806
"O102",2.8042147697772,2.02923426308968,2.14300210579127,0.0677821222541597,2.4140212322625,2.49182894756766,3.37880645721376,1.07007334631806
"O106",2.8042147697772,2.02923426308968,2.14300210579127,0.0677821222541597,2.4140212322625,2.49182894756766,3.37880645721376,1.07007334631806
"O118",2.78094118895747,1.7837280904875,2.12452719893107,0.0555604832668178,2.39767167809362,3.09063971286562,2.66955447808077,0.731529017755703
"O121",2.95223871931282,0.918360306665434,2.14685083334394,0.0346179545371272,2.26910472368968,0.944646233902986,3.34308831141484,0.389235192954664
"O124",2.95223871931282,0.918360306665434,2.14685083334394,0.0346179545371272,2.26910472368968,0.944646233902986,3.34308831141484,0.389235192954664
"O131",2.95583322580865,0.907038760194488,2.17607982479469,0.00380110241795008,2.2788367574876,1.52362237003555,NA,NA
"O137",2.95223871931282,0.918360306665434,2.14685083334394,0.0346179545371272,2.26910472368968,0.944646233902986,3.34308831141484,0.389235192954664
"O140",2.95583322580865,0.907038760194488,2.17607982479469,0.00380110241795008,2.2788367574876,1.52362237003555,NA,NA
"O147",2.95583322580865,0.907038760194488,2.17607982479469,0.00380110241795008,2.2788367574876,1.52362237003555,NA,NA
"O17",2.85315341937685,1.29885682685779,2.16800977683864,0.0885712072684365,2.22489338259964,1.52393366408736,3.23867301810533,0.996216148537731
"O21",2.85315341937685,1.29885682685779,2.16800977683864,0.0885712072684365,2.22489338259964,1.52393366408736,3.23867301810533,0.996216148537731
"O22",2.85315341937685,1.29885682685779,2.16800977683864,0.0885712072684365,2.22489338259964,1.52393366408736,3.23867301810533,0.996216148537731
"O24",2.7792060045641,1.24465534465839,2.1841286247969,0.0428006366861466,2.69639100095155,4.49947600910816,3.44034355417212,0.132962280474103
"O26",2.78656182273157,2.03351245242716,2.11895067477455,0.0591585138863105,2.54933042352161,2.75044407042592,NA,NA
"O30",2.78917352128488,1.7790803102249,NA,NA,2.50520885535594,3.09485326935052,3.18310978493568,1.36137115723164
"O31",2.78917352128488,1.7790803102249,NA,NA,2.50520885535594,3.09485326935052,3.18310978493568,1.36137115723164
"O32",2.7792060045641,1.24465534465839,2.1841286247969,0.0428006366861466,2.69639100095155,4.49947600910816,3.44034355417212,0.132962280474103
"O35",2.77725690874489,1.26388237323783,2.14429718404764,0.0508019805971885,2.42410614857232,3.40520486655272,3.40417404250022,0.123628461818784
"O40",2.77725690874489,1.26388237323783,2.14429718404764,0.0508019805971885,2.42410614857232,3.40520486655272,3.40417404250022,0.123628461818784
"O43",2.77725690874489,1.26388237323783,2.14429718404764,0.0508019805971885,2.42410614857232,3.40520486655272,3.40417404250022,0.123628461818784
"O46",2.7792060045641,1.24465534465839,2.1841286247969,0.0428006366861466,2.69639100095155,4.49947600910816,3.44034355417212,0.132962280474103
"O51",2.78656182273157,2.03351245242716,2.11895067477455,0.0591585138863105,2.54933042352161,2.75044407042592,NA,NA
"O56",2.78917352128488,1.7790803102249,NA,NA,2.50520885535594,3.09485326935052,3.18310978493568,1.36137115723164
"O60",2.78656182273157,2.03351245242716,2.11895067477455,0.0591585138863105,2.54933042352161,2.75044407042592,NA,NA
"O64",2.7792060045641,1.24465534465839,2.1841286247969,0.0428006366861466,2.69639100095155,4.49947600910816,3.44034355417212,0.132962280474103
"O66",2.77725690874489,1.26388237323783,2.14429718404764,0.0508019805971885,2.42410614857232,3.40520486655272,3.40417404250022,0.123628461818784
"O78",2.78917352128488,1.7790803102249,NA,NA,2.50520885535594,3.09485326935052,3.18310978493568,1.36137115723164
"O90",2.78656182273157,2.03351245242716,2.11895067477455,0.0591585138863105,2.54933042352161,2.75044407042592,NA,NA
"O91",2.8042147697772,2.02923426308968,2.14300210579127,0.0677821222541597,2.4140212322625,2.49182894756766,3.37880645721376,1.07007334631806
"O96",2.78094118895747,1.7837280904875,2.12452719893107,0.0555604832668178,2.39767167809362,3.09063971286562,2.66955447808077,0.731529017755703
"O99",2.78094118895747,1.7837280904875,2.12452719893107,0.0555604832668178,2.39767167809362,3.09063971286562,2.66955447808077,0.731529017755703
